,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,11.3,0,0,0,0,0,12,34.2,0,0,0,0,10.5,8.9,13.1,11.7,49,18.8,18.6,0,25.7,0,0,0,25.6,11.5,0,6.8,0,0,27.2,25.8,0,0,0,0,0,18.2,0,5.44,39.4,-4.8,-17.3,3.2,-8.5,401.14,1/7/2014
1,1,14.5,0,0,0,0,0,12,17.8,0,0,0,0,17.7,11,16.2,0,36.52,12.18,25,0,25.7,0,0,0,25.6,12.3,0,6.8,0,0,30.2,29.1,0,0,0,0,0,18.2,0,5.44,37.7,5.4,-5.3,-3.8,-23.4,381.04,1/7/2014
2,2,21.4,0,0,0,0,0,0,0,0,0,0,0,22.2,16.8,24.1,0,50,18.2,31.1,0,25.8,0,0,0,25.7,12.1,0,6.7,0,0,27.9,27.7,0,0,0,0,0,18.2,0,5.5,37.7,12.8,0,4.5,-30.4,384.2,1/7/2014
3,3,34.5,0,0,0,0,0,0,0,0,0,0,0,36.8,21.3,24.9,0,43.2,0,36.5,0,25.8,0,0,0,25.5,12,0,7.7,0,0,28.2,27.7,0,0,0,0,0,18.2,0,5.6,0,3.8,-3.1,11,-35.5,371.7,1/7/2014
4,4,34.3,0,0,0,0,0,0,0,0,0,0,0,33.8,15.5,27.2,0,43.65,14.55,34.2,0,25.8,0,0,0,25.7,12,0,7.8,0,0,28.7,28.8,0,0,0,0,0,18.2,0,5.67,0,7.8,0,6.8,-34.9,376.17,1/7/2014
5,5,31.9,0,0,0,0,0,0,0,0,0,0,0,29.2,16.7,27.5,0,50,18.2,32.7,0,25.8,0,0,0,26,11.5,0,8.1,0,0,29,28.2,0,0,0,0,0,18.2,0,5.67,20.1,-1.3,-13.5,13,-25.7,406.27,1/7/2014
6,6,32.5,0,0,0,0,0,0,0,0,0,0,0,28.4,18.3,29,0,49,18.9,24,0,25.9,0,0,0,25.8,12,0,8.1,0,0,30,28.2,0,0,0,0,0,18.2,0,5.44,19.9,-10.7,-22.1,21.4,-17.6,402.64,1/7/2014
7,7,28.3,0,0,0,0,0,0,0,0,0,0,0,32.1,21.1,28.9,0,46.35,15.45,33.6,0,25.8,0,0.6,0,25.9,12,0,7.5,0,0,29.1,27.6,0,0,0,0,0,18.5,0,5.3,30.4,-8.5,-20.1,20.1,-21.6,418.6,1/7/2014
8,8,35,0,0,0,0,0,12,32.3,0,0,0,0,16.8,17.6,28.8,19.8,51.53,17.18,32.2,0,25.6,0,6.6,0.5,25.6,11.2,0,7.5,0,0,28.3,28,0,0,0,0,0,18.4,0,5.2,43.1,-3.3,-18.7,15.8,-19.2,488.61,1/7/2014
9,9,33.3,0,0,0,0,0,12.2,32.3,0,0,0,0,35,19.9,30.7,41.9,43.95,14.65,39.1,0,25.5,0,6.6,6.6,25.1,11.2,0,7.4,0,0,28.2,27.6,0,0,0,0,0,18,0,4.9,43.2,-4.8,-13,18.4,-29.7,536.4,1/7/2014
10,10,24.6,0,0,0,0,0,12.1,32,0,0,0,0,35.6,20.1,25.5,45.5,51.53,17.18,36.9,0,25.7,0,6.6,6.6,25.2,11,0,18.7,0,15.6,28.1,27.6,0,0,0,0,0,18,0,4.7,50.4,-1.5,-13.3,15.1,-25.8,564.71,1/7/2014
11,11,22.4,0,0,0,0,0,11.8,31.5,0.6,35.8,0,0,20,14.3,18.3,42.7,51.3,17.1,25.1,0,25.7,0,6.6,6.6,25.1,10.6,0,24.9,0,20.2,28.2,27.5,0,0,0,5.2,5.2,18,0,4.7,50.4,-16.2,-23.1,19.6,-13.1,582.6,1/7/2014
12,12,22.3,0,0,0,0,0,11.8,31.6,20.8,35.3,0,0,14.8,9.6,25.8,43.1,51.3,17.1,21.2,0,25.7,0,6.6,6.6,25.6,11.2,0,8,0,15.3,27.7,27.7,0,0,0,5.2,5.2,18,0,4.5,50.4,-13.7,-27.3,16.5,-2.4,569.3,1/7/2014
13,13,26.4,17.7,0,0,0,0,11.8,32,21.1,35.8,0,0,17.4,9.7,19.9,44,44.55,14.85,20.7,0,25.8,0,6.6,6.6,25.4,11.2,0,7,0,15.6,27.9,27.7,0,0,0,5.2,5.2,18,0,4.6,37.6,-5,-17.9,14.2,-9.9,558.9,1/7/2014
14,14,18.1,11.7,0,0,0,0,11.6,32.8,20.8,36.9,0,0,15,12.1,14.3,46.7,50.78,16.93,34.4,0,25.9,0,6.4,6.3,25.1,10.7,0,20.2,0,0,28.4,27.1,0,0,0,5.2,5.2,18,0,4.6,50.1,-11.5,-21.8,16.4,-4,576.21,1/7/2014
15,15,15.6,18.2,18.6,8,0,0,11.6,31.1,22.2,36.9,0,0,13.6,9.9,17.1,42.1,50,18.3,17.3,0,25.7,0,6.6,6.6,24.7,10.6,0,13.5,0,18.2,28.3,27.4,0,0,0,5.2,5.2,18.1,0,4.6,50.1,-7.9,-21.4,22.2,5.3,577.1,1/7/2014
16,16,15.5,18.1,18.6,0,0,0,11.6,32.5,22.2,36.9,0,0,19.3,12.2,17.8,44.6,45,13.2,29.2,0,25.7,0,6.6,6.5,25.6,10.6,0,7.2,0,14.2,27.6,27.9,0,0,0,5.2,5.2,18.1,0,4.6,38.9,2.3,-11.3,19.5,-8.1,558.2,1/7/2014
17,17,22.4,0,0,0,0,0,11.2,33.1,22.3,36.9,0,0,17.7,12.7,25.4,43,45,12.4,35.5,0,25.7,0,0,0,25.8,10,0,6.9,0,0,27.8,27.9,0,0,0,0,0,18.1,0,5.2,37.6,2,-9.4,14.5,-15.8,511.3,1/7/2014
18,18,24.9,0,0,0,0,0,10.8,33.3,0,0,0,0,32.3,20.2,30,12.2,50,18,42.9,0,25.8,0,0,0,25.9,10.7,0,8,0,0,28.9,28.2,0,0,0,0,0,18.1,0,5.28,50.5,5.5,-5.3,20.7,-26.3,481.38,1/7/2014
19,19,18.2,13.1,9.7,18.1,0,0,11.6,27.4,22.7,37.4,0,0,20.6,14.3,20.2,44.5,50,18.7,33.8,0,25.8,0,0,0,26.3,10.9,0,16.5,0,14.9,28.5,28.3,0,0,0,5.2,5.2,18.2,0,5.21,50.4,8.7,-6.5,14.1,-16.7,596.11,1/7/2014
20,20,8.1,18.3,18.6,17.8,0,0,11.5,33.3,22.4,37.4,0,0,14.6,9.8,22.2,45,50,18.4,20.6,0,25.8,0,0,0,25.9,10.9,0,11.7,0,16.4,28.1,27.9,0,0,0,5.2,5.2,17,0,5.4,50.5,1.8,-5.7,7.2,-8.8,583.5,1/7/2014
21,21,4.1,18.2,18.5,17.8,0,0,12.3,33.8,23.4,37.4,0,0,6.3,3.1,6.5,44.3,50,18.2,8.8,0,25.4,0,0,0,25.3,11.8,0,14.9,0,15.8,28.4,28,0,0,0,5.2,5.2,17.6,0,5.52,50.1,8.8,-7.2,-3.3,-0.2,537.82,1/7/2014
22,22,9.2,0,0,0,0,0,12.4,33.4,12.8,37.4,0,0,3.9,3.3,7.3,39.9,50,18.8,10.9,0,25.5,0,0,0,26.1,11.4,0,18.4,0,0,28.5,27.9,0,0,0,0,0,17,0,5.59,44.6,4,-8.2,-6,-8.7,463.19,1/7/2014
